,room_id,survey_id,host_id,room_type,city,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,name,last_modified,latitude,longitude
120,3487213,1476,12263438,Entire home/apt,Amsterdam,De Pijp / Rivierenbuurt,0,0.0,2,2,107,charming house with a private garde,2017-07-23 07:12:23.614416,52.341604,4.9027080000000005
121,312654,1476,1358222,Entire home/apt,Amsterdam,Oostelijk Havengebied / Indische Buurt,7,5.0,4,1,124,Spacious 2 floor app. + roofterrace,2017-07-23 07:09:04.173300,52.364509999999996,4.941742
122,11527867,1476,6898966,Entire home/apt,Amsterdam,Oostelijk Havengebied / Indische Buurt,7,4.5,4,2,108,Comfortable 2BD apartment close to Flevopark | 4P,2017-07-23 07:08:59.923392,52.359705,4.940978
123,5044279,1476,10331119,Entire home/apt,Amsterdam,Bos en Lommer,0,0.0,2,1,107,Cosy apartment near the centre,2017-07-23 06:58:05.853994,52.385033,4.855485
124,3896770,1476,11628175,Entire home/apt,Amsterdam,Centrum West,32,5.0,2,1,119,"Beautiful, big & cosy Jordaan appt!",2017-07-23 06:56:11.525115,52.378978000000004,4.881797
125,2869412,1476,3267819,Entire home/apt,Amsterdam,Bos en Lommer,0,0.0,2,1,113,Leuke knusse woning Amsterdam,2017-07-23 06:54:38.415677,52.37457,4.8477760000000005
126,19961313,1476,23668570,Entire home/apt,Amsterdam,Geuzenveld / Slotermeer,0,0.0,2,1,107,"Gorgeous and spacious apartment, close to centre.",2017-07-23 06:54:26.346982,52.375031,4.833993
127,19959975,1476,141474058,Entire home/apt,Amsterdam,De Pijp / Rivierenbuurt,0,0.0,2,1,118,Groundfloor apt with large garden close to RAI,2017-07-23 06:52:39.837134,52.346127,4.908695
128,18610519,1476,7197327,Entire home/apt,Amsterdam,Westerpark,1,0.0,2,1,119,Spacious apartment with spectacular garden,2017-07-23 06:51:51.678761,52.381209999999996,4.871347
129,19670214,1476,8012286,Entire home/apt,Amsterdam,De Pijp / Rivierenbuurt,0,0.0,2,0,114,Bohemian Home,2017-07-23 06:50:46.573308,52.355554999999995,4.893462
130,16500721,1476,16456577,Entire home/apt,Amsterdam,Oud Noord,0,0.0,4,2,119,Great spacious water front loft,2017-07-23 06:49:12.651219,52.386637,4.930523
131,10116455,1476,517215,Entire home/apt,Amsterdam,Noord-West / Noord-Midden,2,0.0,2,1,84,Small private house with garden 2P,2017-07-23 06:45:54.396447,52.345147999999995,4.846525
132,4454349,1476,22290835,Entire home/apt,Amsterdam,Watergraafsmeer,16,4.5,2,1,96,Garden appartement including bikes!,2017-07-23 06:44:41.331443,52.350376000000004,4.922197
133,10067490,1476,6379689,Entire home/apt,Amsterdam,De Baarsjes / Oud West,17,4.0,2,1,87,Amsterdam 1 bedroom apartment,2017-07-23 06:40:38.502874,52.364669,4.853038
134,2439636,1476,12471029,Entire home/apt,Amsterdam,De Baarsjes / Oud West,26,5.0,2,1,102,Centrally located apartment,2017-07-23 06:40:38.493813,52.363858,4.863847
135,8397699,1476,19517190,Entire home/apt,Amsterdam,De Pijp / Rivierenbuurt,0,0.0,2,1,90,Bright cozy appartement @ Amsterdam,2017-07-23 06:36:49.384916,52.343339,4.909873999999999
136,7334008,1476,1401624,Entire home/apt,Amsterdam,Buitenveldert / Zuidas,25,4.5,4,2,90,Spacious 65m2 appartment,2017-07-23 06:36:41.391374,52.324977000000004,4.884253
137,5711408,1476,29579164,Entire home/apt,Amsterdam,Bijlmer Centrum,28,4.5,2,0,96,"Cosy, Clean, Cute 2BD ",2017-07-23 06:36:35.191533,52.321186,4.952329
138,14570309,1476,48082603,Entire home/apt,Amsterdam,Oostelijk Havengebied / Indische Buurt,3,5.0,2,1,102,"Very nice, clean and cozy apartment @AmsterdamEast",2017-07-23 06:33:23.399653,52.363177,4.9327879999999995
139,14884660,1476,9015391,Entire home/apt,Amsterdam,Bijlmer Oost,1,0.0,4,3,96,Wow! Laid back townhouse with terrace and garden,2017-07-23 06:31:27.773695,52.317972999999995,4.965312
140,16060910,1476,6605801,Entire home/apt,Amsterdam,Westerpark,0,0.0,2,1,90,Feel at home in our little palace!,2017-07-23 06:28:10.357033,52.380827000000004,4.870227
141,5964100,1476,1347933,Entire home/apt,Amsterdam,Centrum West,6,5.0,4,1,90,Apartment Central Amsterdam,2017-07-23 06:28:10.346201,52.378811,4.885452
142,19484789,1476,67088986,Entire home/apt,Amsterdam,De Pijp / Rivierenbuurt,0,0.0,2,0,103,Studio in the heart of De Pijp!,2017-07-23 06:27:19.819606,52.356456,4.897412
143,451251,1476,1466576,Entire home/apt,Amsterdam,De Pijp / Rivierenbuurt,11,5.0,2,1,96,Light 1 bed appt in trendy De Pijp,2017-07-23 06:27:09.716286,52.35562,4.894766000000001
144,8857078,1476,31209126,Entire home/apt,Amsterdam,Bos en Lommer,5,4.5,4,0,84,REMBRANDTPARK APARTMENT PENTHOUSE VIEWS OVER DAM,2017-07-23 06:26:33.866722,52.377657,4.848016
